Timestamp,This form collects anonymous study behavior data for an academic project on study patterns and mental workload. No personal identifiers are collected. You may skip any question. ,Q1. Your academic level ,Q2. Todayâ€™s date ,Q3. Did you study today? ,Q4. How many separate study sessions did you have today? ,Q5a. Subject studied ,Q5b. Approximate start time (HH:MM),  Q5c. Approximate end time (HH:MM)  ,  Q5d. Was this session planned in advance?  ,  Q5e. How long did you plan to study? (minutes)  ,  Q6. Did you take breaks during this session?  ,  Q7. Did you switch tasks or subjects during the session?  ,  Q8. Do you have an academic deadline within:  ,  Q9. How mentally demanding did todayâ€™s study feel?  ,Q10. How focused did you feel overall? ,"Q11. Right now, how mentally tired do you feel? ",  Q12. Did todayâ€™s study happen mostly:  ,Q13. Any short comment about todayâ€™s study?
12/19/2025 20:04:55,I consent to anonymously share my responses for research purposes,PG,12/19/2025,Yes,2,Coding,12:00,14:30,No,240,No breaks,No,2-3 days,5,3,4,Afternoon,Wasted!!!!!
12/19/2025 20:05:01,I consent to anonymously share my responses for research purposes,PG,12/19/2025,Yes,1,Coding,8:00 AM,9:10 AM,No,approx 1 hour,Yes but very few,No,No upcoming deadline,1,4,3,Morning,nice
12/19/2025 20:22:31,I consent to anonymously share my responses for research purposes,UG,12/19/2025,No (Scroll down click next),,Coding,,,,,,,,2,2,4,Afternoon,
12/19/2025 20:26:06,I consent to anonymously share my responses for research purposes,PG,12/19/2025,Yes,2,Other,8 30 am,10:30 qm,No,There was not decided ,No breaks,No,This week,4,3,2,Morning,
12/19/2025 20:27:04,I consent to anonymously share my responses for research purposes,PG,12/19/2025,Yes,2,Coding,2,3.3,Yes,240,Yes regularly,1-2 times,No upcoming deadline,3,3,3,Late night,Ghai Mt kar ðŸ˜…
12/19/2025 20:28:13,I consent to anonymously share my responses for research purposes,PG,12/19/2025,Yes,2,Coding,18:00,22:20,Yes,4,Yes regularly,Frequently,More than a week away,4,4,3,Evening,
12/19/2025 20:29:29,I consent to anonymously share my responses for research purposes,UG,12/19/2025,Yes,1,Coding,4,5,No,Approx 2 hrs,Yes but very few,1-2 times,No upcoming deadline,1,3,3,Evening,It was not planned l. Just thoight of starting the subject again.
12/19/2025 20:30:58,I consent to anonymously share my responses for research purposes,UG,12/19/2025,Yes,1,Reading,11:00am,1:30pm,No,240,No breaks,1-2 times,No upcoming deadline,1,3,2,Afternoon,Could have done more 
12/19/2025 20:31:55,I consent to anonymously share my responses for research purposes,UG,12/19/2025,No (Scroll down click next),1,Other,11,12,No,Half an hour ,,,,1,5,5,Late night,No
12/19/2025 20:32:34,I consent to anonymously share my responses for research purposes,UG,12/19/2025,No (Scroll down click next),2,Math,13:00,14:00,No,,,,,4,4,4,Afternoon,
12/19/2025 20:32:34,I consent to anonymously share my responses for research purposes,UG,12/19/2025,Yes,2,Other,8:00,,Yes,150,Yes but very few,1-2 times,No upcoming deadline,2,3,3,Morning,"It was quite smooth. Focusing on my skills development so there was no pressure, no stress at all. "
12/19/2025 20:34:55,I consent to anonymously share my responses for research purposes,PG,12/19/2025,Yes,2,Reading,,,No,150 minutes,Yes regularly,1-2 times,No upcoming deadline,4,2,3,Evening,Study is done but main thing is to retain the fact. 
12/19/2025 20:41:09,I consent to anonymously share my responses for research purposes,UG,12/19/2025,Yes,2,Coding,11:00,3:00,Yes,,Yes but very few,1-2 times,2-3 days,4,4,5,Evening,
12/19/2025 20:47:39,I consent to anonymously share my responses for research purposes,PG,12/19/2025,Yes,2,Coding,11:00,13:00,No,120 minutes ,No breaks,1-2 times,Next 24 hours,4,4,5,Morning,"I solved DSA problems and did math, which I have an exam for tomorrow. And today was a very hectic day because of my studies. "
12/19/2025 20:48:22,I consent to anonymously share my responses for research purposes,PG,12/19/2025,Yes,1,Revision,02:00 ,04:30,No,240 minutes,Yes regularly,1-2 times,Next 24 hours,5,3,5,Morning,I can stretch some more hours today
12/19/2025 20:56:04,I consent to anonymously share my responses for research purposes,PG,12/19/2025,Yes,1,Coding,8:30,11:00,Yes,5h,No breaks,No,More than a week away,3,3,1,Morning,Continuously 3 hr study 
12/19/2025 20:57:07,I consent to anonymously share my responses for research purposes,PG,12/19/2025,Yes,1,Other,7:00,8:15,No,30-50 min ,Yes but very few,Frequently,No upcoming deadline,2,3,2,Evening,
12/19/2025 21:10:26,I consent to anonymously share my responses for research purposes,UG,12/19/2025,Yes,2,Science,,,,Mins ,Yes regularly,1-2 times,No upcoming deadline,1,4,2,Afternoon,Good 
12/19/2025 21:12:37,I consent to anonymously share my responses for research purposes,PG,12/19/2025,Yes,1,Math,6:00,8:30,No,4 hours,Yes regularly,1-2 times,Next 24 hours,4,1,4,Evening,
12/19/2025 21:14:52,I consent to anonymously share my responses for research purposes,UG,12/19/2025,No (Scroll down click next),,,,,,,,,,3,4,3,Morning,Practice make man perfect..
12/19/2025 21:17:56,I consent to anonymously share my responses for research purposes,UG,12/19/2025,Yes,2,Coding,1:00 ,3:00,No,120,Yes but very few,No,No upcoming deadline,2,4,2,Late night,My today's study is enjoyable. I learn coding and I learned recursion in it.It was ðŸ˜Š.
12/19/2025 21:25:26,I consent to anonymously share my responses for research purposes,UG,12/19/2025,No (Scroll down click next),1,Math,12:01 pm,12:03 pm,No,2 minutes ,,,,1,5,5,Afternoon,Frustrated 
12/19/2025 21:32:18,I consent to anonymously share my responses for research purposes,UG,12/19/2025,Yes,1,Coding,4:00 pm,6:00pm,No,No real time limit,No breaks,No,More than a week away,2,4,2,Afternoon,Satisfied 
12/19/2025 21:42:33,I consent to anonymously share my responses for research purposes,UG,12/19/2025,No (Scroll down click next),,,,,,,,,,1,1,5,,
12/19/2025 22:13:22,I consent to anonymously share my responses for research purposes,UG,12/19/2025,Yes,1,Coding,14:44,20:00,No,120,No breaks,No,No upcoming deadline,2,4,2,Afternoon,Passion drives study well enough that it feels like gliding through air
12/19/2025 22:23:45,I consent to anonymously share my responses for research purposes,UG,12/19/2025,Yes,3,Coding,3:00,5:30,Yes,2 hours,Yes but very few,No,More than a week away,4,4,2,Late night,
12/19/2025 22:25:49,I consent to anonymously share my responses for research purposes,PG,12/19/2025,Yes,2,Coding,11,1,Yes,50,Yes regularly,1-2 times,No upcoming deadline,1,3,3,Afternoon,
12/19/2025 22:31:21,I consent to anonymously share my responses for research purposes,PG,12/19/2025,Yes,1,Coding,10,16,No,N.A,No breaks,No,No upcoming deadline,3,3,2,Afternoon,
12/19/2025 23:07:31,I consent to anonymously share my responses for research purposes,PG,12/19/2025,Yes,4+,Coding,,,Yes,,Yes regularly,1-2 times,No upcoming deadline,3,4,4,Late night,
12/19/2025 23:10:10,I consent to anonymously share my responses for research purposes,PG,12/19/2025,Yes,2,Coding,10:01,12:19,No,59,Yes regularly,1-2 times,More than a week away,3,3,3,Afternoon,English spoken course 
12/20/2025 1:24:46,I consent to anonymously share my responses for research purposes,UG,12/20/2025,No (Scroll down click next),,Other,00,00,No,50,,,,4,2,2,,No
12/20/2025 1:58:10,I consent to anonymously share my responses for research purposes,UG,12/20/2025,No (Scroll down click next),1,Coding,17:00,18:00,No,2 hours,,,,4,3,5,Evening,it was hectic but felt good